iter	RMSE
0	5.327694199
1	5.246055208
2	5.154036036
3	5.059858855
4	4.967807001
5	4.884563979
6	4.809700988
7	4.728902048
8	4.631135857
9	4.55033771
10	4.47386681
11	4.393785264
12	4.306716892
13	4.222529859
14	4.161907123
15	4.100840142
16	4.030018873
17	3.950881086
18	3.877433437
19	3.811549961
20	3.754739039
21	3.698822793
22	3.641996967
23	3.574301615
24	3.51666769
25	3.466067349
26	3.413523594
27	3.365402715
28	3.319707731
29	3.265353161
30	3.21630344
31	3.167596472
32	3.110508881
33	3.06958952
34	3.028473783
35	2.994166025
36	2.945924806
37	2.896700374
38	2.861161227
39	2.823657494
40	2.7886263
41	2.754718946
42	2.720114063
43	2.694090555
44	2.662664365
45	2.623753451
46	2.584626452
47	2.55586207
48	2.528885633
49	2.494197392
50	2.462121967
51	2.438699664
52	2.400764348
53	2.375707519
54	2.343394131
55	2.31302911
56	2.287001862
57	2.253408024
58	2.228848509
59	2.203644625
60	2.182951227
61	2.15992105
62	2.127586485
63	2.110154423
64	2.090635797
65	2.064290484
66	2.043372748
67	2.020470138
68	1.99795882
69	1.973078065
70	1.955951465
71	1.932080376
72	1.908904605
73	1.887861141
74	1.870305237
75	1.852574652
76	1.843837399
77	1.825281247
78	1.813133923
79	1.794714728
80	1.77391783
81	1.754484365
82	1.743769312
83	1.733267305
84	1.725865302
85	1.709585193
86	1.699521611
87	1.678853503
88	1.661781648
89	1.642628361
90	1.631459035
91	1.621891129
92	1.607375488
93	1.594688959
94	1.58003303
95	1.565948015
96	1.555104322
97	1.540006936
98	1.523166256
99	1.509167776
100	1.494624386
101	1.480411824
102	1.471033037
103	1.457970139
104	1.447006928
105	1.434363413
106	1.428570197
107	1.420121034
108	1.414015365
109	1.400989806
110	1.390215733
111	1.382823738
112	1.375164136
113	1.369570703
114	1.356461518
115	1.347887632
116	1.342861213
117	1.330504417
118	1.321655255
119	1.3115896
120	1.307002817
121	1.29683597
122	1.292341332
123	1.287912751
124	1.279067079
125	1.274860309
126	1.268342996
127	1.253654798
128	1.243360267
129	1.231440617
130	1.225765572
131	1.221729753
132	1.208846999
133	1.204389958
134	1.195821617
135	1.187132754
136	1.182375813
137	1.172793489
138	1.168932659
139	1.165341076
140	1.160064018
141	1.152160835
142	1.14221818
143	1.138723702
144	1.135231241
145	1.125520738
146	1.116315682
147	1.112978956
148	1.104030563
149	1.100349602
150	1.097170616
151	1.090451601
152	1.085468119
153	1.075207561
154	1.064626557
155	1.055903499
156	1.049636946
157	1.044808377
158	1.038204744
159	1.027360051
160	1.015680829
161	1.009588835
162	1.002008236
163	0.9979973749
164	0.9949315329
165	0.9921103992
166	0.9832278414
167	0.9806949882
168	0.9767744495
169	0.9699452038
170	0.967466809
171	0.9606760187
